Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",4.99,64406903.05,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.95,29763181.8,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.1252,17587640.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.952,60749289.024,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",19.16,1232330140.12,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.2104,44916145.8408,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),18.33,158145887.64,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,44.99,1154801205.47,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.76,484999449.04,62499929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",38.96,2457550749.28,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",10.95,33945000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",77.04,2750718515.76,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.9188,73671887.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.52,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.57,52850000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.28,1610000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,25.62,2471512850.1,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",50.37,2625045696.57,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,4.22,207463838.34,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,0.95,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,0.92,7395936.12,,2014.0,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",260.58,11799894692.52,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.01,170052670.81,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,5.51,372268454.83,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
