Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",4.065,52467747.675,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.1,30665096.4,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.3263,17728410.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.955,60842653.71,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",19.2,1234902854.4,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.12,44475294.24,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),18.17,156765454.36,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,44.52,1136827638.24,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.17,448124490.93,62499929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",38.98,2458812325.64,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",10.89,33759000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",80.07,2858904874.83,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.95,73903625.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.53,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.99,54950000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.35,2012500.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,24.95,2472466806.7,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",50.6,2637032206.6,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,3.72,182882814.84,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
